Collection ID,Item Name,Category,Subcategory,Franchise,Series,Character,Card Number,Manufacturer,Release Year,Country,Condition,Quantity,Asking Price,Fair Value,Availability,Featured,Sealed,Rare,Description,Tags,Notes,Cover Image,Front Image,Back Image,Extra Images
NB57-0018,Shellder Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Shellder,#090,Cheetos India,2002,India,Played,1,120,100,Available,,,,Vintage Shellder promotional flip card.,"Pokemon,Shellder,Vintage,Cheetos",,,,,
NB57-0019,Seadra Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Seadra,#117,Cheetos India,2002,India,Played,1,150,125,Available,,,,Vintage Seadra promotional flip card.,"Pokemon,Seadra,Vintage,Cheetos",,,,,
NB57-0020,Slowbro Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Slowbro,#080,Cheetos India,2002,India,Heavy Played,1,150,125,Available,,,,Vintage Slowbro promotional flip card.,"Pokemon,Slowbro,Vintage,Cheetos",,,,,
NB57-0021,Tentacool Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Tentacool,#072,Cheetos India,2002,India,Heavy Played,1,120,100,Available,,,,Vintage Tentacool promotional flip card.,"Pokemon,Tentacool,Vintage,Cheetos",,,,,
NB57-0022,Muk Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Muk,#089,Cheetos India,2002,India,Played,1,200,150,Available,,,,Vintage Muk promotional flip card.,"Pokemon,Muk,Vintage,Cheetos",,,,,
NB57-0023,Golbat Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Golbat,#042,Cheetos India,2002,India,Heavy Played,1,120,100,Available,,,,Vintage Golbat promotional flip card.,"Pokemon,Golbat,Vintage,Cheetos",,,,,
NB57-0024,Machoke Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Machoke,#067,Cheetos India,2002,India,Played,1,180,150,Available,,,,Vintage Machoke promotional flip card.,"Pokemon,Machoke,Vintage,Cheetos",,,,,
NB57-0025,Hitmonchan Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Hitmonchan,#107,Cheetos India,2002,India,Played,1,180,150,Available,,,,Vintage Hitmonchan promotional flip card.,"Pokemon,Hitmonchan,Vintage,Cheetos",,,,,
NB57-0026,Dugtrio Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Dugtrio,#051,Cheetos India,2002,India,Played,1,120,100,Available,,,,Vintage Dugtrio promotional flip card.,"Pokemon,Dugtrio,Vintage,Cheetos",,,,,
NB57-0027,Mew Round Tazo,Pokemon,Round Tazo,Pokemon,Pokemon Tazos,Mew,#151,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage round tazo featuring Mew.,"Pokemon,Mew,Tazo",,,,,
NB57-0028,Ariados Round Tazo,Pokemon,Round Tazo,Pokemon,Pokemon Tazos,Ariados,#168,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage round tazo featuring Ariados.,"Pokemon,Ariados,Tazo",,,,,
NB57-0029,Teddiursa Round Tazo,Pokemon,Round Tazo,Pokemon,Pokemon Tazos,Teddiursa,#216,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage round tazo featuring Teddiursa.,"Pokemon,Teddiursa,Tazo",,,,,
NB57-0030,Murkrow Round Tazo,Pokemon,Round Tazo,Pokemon,Pokemon Tazos,Murkrow,#198,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage round tazo featuring Murkrow.,"Pokemon,Murkrow,Tazo",,,,,
NB57-0031,Sudowoodo Round Tazo,Pokemon,Round Tazo,Pokemon,Pokemon Tazos,Sudowoodo,#185,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage round tazo featuring Sudowoodo.,"Pokemon,Sudowoodo,Tazo",,,,,
NB57-0032,Magician of Black Chaos Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Magician of Black Chaos,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Magician of Black Chaos.,"YuGiOh,Magician of Black Chaos,Vintage",,,,,
NB57-0033,Summoned Skull Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Summoned Skull,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Summoned Skull.,"YuGiOh,Summoned Skull,Vintage",,,,,
NB57-0034,Gate Guardian Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Gate Guardian,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Gate Guardian.,"YuGiOh,Gate Guardian,Vintage",,,,,
NB57-0035,Battle Steer Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Battle Steer,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Battle Steer.,"YuGiOh,Battle Steer,Vintage",,,,,
NB57-0036,Harpie Lady Sisters Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Harpie Lady Sisters,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Harpie Lady Sisters.,"YuGiOh,Harpie Lady Sisters,Vintage",,,,,
NB57-0037,Thousand Eyes Idol Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Thousand Eyes Idol,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Thousand Eyes Idol.,"YuGiOh,Thousand Eyes Idol,Vintage",,,,,
NB57-0038,Yugi Red Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Yugi Red,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Yugi Red.,"YuGiOh,Yugi Red,Vintage",,,,,
NB57-0039,Yugi Blue Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Yugi Blue,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Yugi Blue.,"YuGiOh,Yugi Blue,Vintage",,,,,
NB57-0040,Yugi Green Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Yugi Green,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Yugi Green.,"YuGiOh,Yugi Green,Vintage",,,,,
NB57-0041,Yugi Gold Tazo,Yu-Gi-Oh,Tazo,Yu-Gi-Oh,Cheetos Shootout,Yugi Gold,,Cheetos India,2003,India,Played,1,599,450,Available,,,,Vintage Yu-Gi-Oh tazo featuring Yugi Gold.,"YuGiOh,Yugi Gold,Vintage",,,,,
NB57-0042,Sealed Ben 10 Puzzle Card - Diamondhead,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Diamondhead,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Diamondhead.,"Ben10,Diamondhead,Sealed",,,,,
NB57-0043,Sealed Ben 10 Puzzle Card - Upgrade,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Upgrade,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Upgrade.,"Ben10,Upgrade,Sealed",,,,,
NB57-0044,Sealed Ben 10 Puzzle Card - Four Arms,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Four Arms,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Four Arms.,"Ben10,Four Arms,Sealed",,,,,
NB57-0045,Sealed Ben 10 Puzzle Card - Four Arms (Duplicate),Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Four Arms (Duplicate),,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Four Arms (Duplicate).,"Ben10,Four Arms (Duplicate),Sealed",,,,,
NB57-0046,Sealed Ben 10 Puzzle Card - XLR8,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,XLR8,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring XLR8.,"Ben10,XLR8,Sealed",,,,,
NB57-0047,Sealed Ben 10 Puzzle Card - Wildmutt,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Wildmutt,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Wildmutt.,"Ben10,Wildmutt,Sealed",,,,,
NB57-0048,Sealed Ben 10 Puzzle Card - Ben Tennyson,Ben 10,Puzzle Card,Ben 10,Cheetos Puzzle Cards,Ben Tennyson,,Cheetos India,2008,India,Factory Sealed,1,999,700,Available,,Yes,,Factory sealed puzzle card featuring Ben Tennyson.,"Ben10,Ben Tennyson,Sealed",,,,,
NB57-0049,Sealed Ben 10 Disc - Gwen,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Gwen,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Gwen.,"Ben10,Gwen,Disc,Sealed",Verify exact variant,,,,
NB57-0050,Sealed Ben 10 Disc - Wildvine,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Wildvine,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Wildvine.,"Ben10,Wildvine,Disc,Sealed",Verify exact variant,,,,
NB57-0051,Sealed Ben 10 Disc - Humungousaur,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Humungousaur,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Humungousaur.,"Ben10,Humungousaur,Disc,Sealed",Verify exact variant,,,,
NB57-0052,Sealed Ben 10 Disc - Rath,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Rath,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Rath.,"Ben10,Rath,Disc,Sealed",Verify exact variant,,,,
NB57-0053,Sealed Ben 10 Disc - Big Chill,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Big Chill,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Big Chill.,"Ben10,Big Chill,Disc,Sealed",Verify exact variant,,,,
NB57-0054,Sealed Ben 10 Disc - Jetray,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Jetray,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Jetray.,"Ben10,Jetray,Disc,Sealed",Verify exact variant,,,,
NB57-0055,Sealed Ben 10 Disc - Kevin Levin,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Kevin Levin,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Kevin Levin.,"Ben10,Kevin Levin,Disc,Sealed",Verify exact variant,,,,
NB57-0056,Sealed Ben 10 Disc - Unknown Alien 1,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Unknown Alien 1,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Unknown Alien 1.,"Ben10,Unknown Alien 1,Disc,Sealed",Verify exact variant,,,,
NB57-0057,Sealed Ben 10 Disc - Unknown Alien 2,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Unknown Alien 2,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Unknown Alien 2.,"Ben10,Unknown Alien 2,Disc,Sealed",Verify exact variant,,,,
NB57-0058,Sealed Ben 10 Disc - Unknown Alien 3,Ben 10,Collectible Disc,Ben 10,Cheetos Disc Collection,Unknown Alien 3,,Cheetos India,2008,India,Factory Sealed,1,999,850,Available,,Yes,,Factory sealed Ben 10 disc featuring Unknown Alien 3.,"Ben10,Unknown Alien 3,Disc,Sealed",Verify exact variant,,,,
NB57-0059,Sealed Bakugan Disc - Dragonoid Variant,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Dragonoid Variant,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Dragonoid Variant,Sealed",Verify exact character,,,,
NB57-0060,Sealed Bakugan Disc - Winged Dragon Variant,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Winged Dragon Variant,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Winged Dragon Variant,Sealed",Verify exact character,,,,
NB57-0061,Sealed Bakugan Disc - Unknown Variant A,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant A,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant A,Sealed",Verify exact character,,,,
NB57-0062,Sealed Bakugan Disc - Unknown Variant B,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant B,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant B,Sealed",Verify exact character,,,,
NB57-0063,Sealed Bakugan Disc - Unknown Variant C,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant C,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant C,Sealed",Verify exact character,,,,
NB57-0064,Sealed Bakugan Disc - Unknown Variant D,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant D,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant D,Sealed",Verify exact character,,,,
NB57-0065,Sealed Bakugan Disc - Unknown Variant E,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant E,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant E,Sealed",Verify exact character,,,,
NB57-0066,Sealed Bakugan Disc - Unknown Variant F,Bakugan,Collectible Disc,Bakugan,Cheetos Promotion,Unknown Variant F,,Cheetos India,2009,India,Factory Sealed,1,999,800,Available,,Yes,,Factory sealed Bakugan promotional disc.,"Bakugan,Unknown Variant F,Sealed",Verify exact character,,,,
NB57-0067,Ed Edd n Eddy Skidz,Misc,Collectible,Various,Promotional,Ed Edd n Eddy Skidz,,,,India,Played,1,199,100,Available,,,,Ed Edd n Eddy Skidz,"Misc,Ed Edd n Eddy Skidz",,,,,
NB57-0068,Samurai Jack Skidz,Misc,Collectible,Various,Promotional,Samurai Jack Skidz,,,,India,Played,1,199,100,Available,,,,Samurai Jack Skidz,"Misc,Samurai Jack Skidz",,,,,
NB57-0069,Cartoon Network Skidz,Misc,Collectible,Various,Promotional,Cartoon Network Skidz,,,,India,Played,1,199,100,Available,,,,Cartoon Network Skidz,"Misc,Cartoon Network Skidz",,,,,
NB57-0070,Beyblade Tazo,Misc,Collectible,Various,Promotional,Beyblade Tazo,,,,India,Played,1,199,100,Available,,,,Beyblade Tazo,"Misc,Beyblade Tazo",,,,,
NB57-0071,Misc Promo 1,Misc,Collectible,Various,Promotional,Misc Promo 1,,,,India,Played,1,199,100,Available,,,,Misc Promo 1,"Misc,Misc Promo 1",,,,,
NB57-0072,Misc Promo 2,Misc,Collectible,Various,Promotional,Misc Promo 2,,,,India,Played,1,199,100,Available,,,,Misc Promo 2,"Misc,Misc Promo 2",,,,,
